ID,Score Question 1,Score Question 2,Score Question 3,Score Question 4,Score Question 5,Score Question 6,Score Question 7,Score Question 8,Score Question 9,Score Question 10,Score Question 11,Score Question 12,Score Question 13,Score Question 14,Score Question 15,Score Question 16,Score Question 17,Score Question 18,Score Question 19,Score Question 20,Score Question 21,Score Question 22,Score Question 23,Score Question 24,Score Question 25,Score Question 26,Score Question 27,Score Question 28,Score Question 29,Score Question 30,Score Question 31,Score Question 32,Score Question 33,Score Question 34,Score Question 35,Score Question 36,Score Question 37,Score Question 38,Score Question 39,Score Question 40,Score Question 41,Score Question 42,Score Question 43,Score Question 44,Score Question 45,Score Question 46,Score Question 47,Score Question 48,Score Question 49
Student 0165,0,0.8,0,0.7,1.8,2.2,0.8,0.9,0,0,0,0.6,0,1.0,0,1.8,1.2,0.6,1.4,0.5,0.6,0.8,0.9,0,0.7,0,0.9,0.9,2.1,0,0.2,0,0.4,0.6,1.1,0.9,0,0.7,0.4,0,0.9,5,0.4,0.5,0.2,0.8,0,0.5,0
Student 0166,0,0.9,0,0.4,1.0,2.2,0.8,0.7,0,0,0,2,0,1.2,0,1.9,0.5,0.7,1.3,0.7,0.6,0.5,1.2,0,1.5,0,1.0,0.6,2.3,0,0.8,0,0.4,1.2,1.0,1.2,0,1.3,1.3,0,1.2,2.1,1.4,0.4,3,0.9,1,0.3,0
Student 0167,1,2.4,1,1.1,2.2,3.1,3.7,1.7,1,1,1,1.5,1,4.0,1,2.9,1.7,1.1,1.8,1.1,1.8,2.3,2.4,0,2.7,1,1.5,1.8,3.7,1,1.1,1,1.6,2.4,3.5,2.8,1,0.0,4.5,1,2.8,3.5,2.1,1.6,2.6,3.8,1,1.5,1
Student 0168,0,1.1,0,1.0,1.4,2.3,2.0,0.7,0,0,0,0.5,0,1.4,0,1.9,0.7,0.9,1.3,0.9,1.5,0.9,1.5,0,1.5,0,0.4,1.0,2.0,0,0.5,0,0.4,1.2,2.5,1.5,0,1.4,1.8,0,1.0,0.7,0.4,0.8,1.4,1.6,0,0.4,0
Student 0169,1,2.0,1,0.0,2.8,4.9,4.9,1.5,1,1,1,1.5,1,4.8,1,4.4,2.8,1.5,3.0,1.8,3,2.9,3,1,2.7,0,1.6,1.7,4.5,1,1.4,1,2.2,2.5,5,2.4,1,3.0,4.4,1,2.5,4.4,3,0.0,2.4,4.5,1,0.0,1
Student 0170,1,2.2,1,1.2,0.0,3.7,4.3,1.7,1,1,1,1.7,1,3.8,1,3.0,2.1,1.6,2.7,1.5,2.6,1.9,2.4,1,2.0,1,1.8,1.1,3.6,1,1.7,1,1.9,2.0,4.6,2.4,1,2.0,3.0,1,2.7,4.2,1.8,1.8,1.9,4.7,1,1.7,1
Student 0171,1,1.7,1,1.1,1.8,3.7,3.5,0.0,1,1,1,1.6,1,4.5,1,4.3,2.4,1.7,2.5,1.1,2.5,2.6,0.0,1,2.4,1,1.1,1.7,3.0,1,1.8,1,0.0,1.9,4.2,2.4,1,2.5,3.7,1,0.0,3.1,1.8,1.5,2.7,2.6,1,1.8,1
Student 0172,0,1.2,1,1.0,1.2,1.8,3.1,1.2,0,1,1,1.1,1,0.0,0,2.3,1.8,0.7,1.5,0.7,1.9,1.5,1.3,0,1.4,1,1.2,1.0,2.4,0,0.6,0,1.7,1.3,2.5,0.8,1,1.5,3.1,0,1.7,1.9,1.6,0.8,1.9,3.0,0,0.0,1
Student 0173,0,0.6,0,0.6,1.8,1.6,2.8,0.8,0,0,0,0.5,0,2.9,1,1.6,1.2,0.7,0.9,0.7,1.5,1.6,3,1,1.2,1,1.1,0.6,1.6,0,1.1,0,1.2,1.1,1.4,0.7,0,1.0,1.6,0,1.6,5,1.2,0.7,0.8,2.5,0,0.5,0
Student 0174,1,1.9,1,1.2,0.0,3.3,4.6,1.5,1,1,1,1.6,1,4.5,1,4.2,2.0,1.4,1.9,0.0,2.1,2.2,2.9,1,2.9,1,1.2,1.2,4.2,1,1.6,1,2.7,2.0,4.6,2.2,1,2.3,4.5,1,2.3,2.9,2.7,1.6,2.2,4.5,1,1.4,1
Student 0175,1,3,1,2,3,5,4.0,1.9,1,1,1,1.6,1,5,1,5,2.9,1.9,2.6,1.5,3,2.4,2.3,1,2.4,1,1.5,1.7,5,1,1.9,1,2.3,2.9,5,3,1,3,5,1,2.6,5,3.0,1.9,2.8,4.8,1,1.7,1
Student 0176,0,1.2,0,0.1,0.6,0.4,0.6,0.6,1,0,0,0.3,0,1.2,0,1.5,1.2,0.6,3,0.2,0.7,0.4,0.7,0,0.7,0,0.2,0.2,1.9,0,0.3,0,0.4,0.9,2.0,1.3,0,0.6,2.2,0,3,1.2,0.6,0.7,0.3,1.0,0,0.3,0
Student 0177,1,3,1,2,2.6,3.9,5,1.8,1,1,1,2,1,5,1,4.5,3,1.9,3,1.7,2.8,3,2.4,1,3,1,1.9,2,5,1,2,1,3,3,5,2.5,1,2.7,5.0,1,3,4.5,3,2,2.9,5,1,2,1
Student 0178,1,3,1,1.7,3,4.2,4.3,1.7,1,1,1,1.7,1,4.1,1,4.5,3,1.8,2.2,1.6,2.9,2.3,3,1,2.6,1,1.6,1.7,4.0,1,2,1,3,2.7,4.1,2.9,1,3,5,1,2.9,3.8,3,2,3,3.8,1,1.9,1
Student 0179,1,2.2,1,0.0,3.0,4.4,4.7,1.8,1,1,1,2.0,1,4.8,0,4.2,2.7,1.3,2.3,1.2,2.6,2.1,2.7,1,2.4,1,1.2,1.6,4.2,1,1.9,1,2.6,2.4,4.3,2.0,1,2.2,3.8,1,2.4,3.3,2.0,1.9,1.9,3.3,1,1.5,1
Student 0180,0,2.5,1,1.8,2.9,3.8,4.2,1.4,1,1,1,1.7,1,4.6,1,4.2,1.8,1.4,2.9,1.2,2.5,2.3,2.3,1,2.7,0,0.0,1.5,4.4,1,1.4,1,1.7,2.5,3.4,2.3,1,2.0,4.2,1,0.0,4.5,2.1,1.6,2.2,4.4,1,1.3,1
Student 0181,1,2.5,1,1.7,2.2,5,5,2,1,1,1,1.8,1,4.1,1,4.1,2.6,1.4,2.3,2,2.7,3,3,1,2.7,1,1.7,2,4.2,1,1.7,1,2.5,3,4.2,3.0,1,3,4.6,1,2.9,3.9,2.4,1.6,3.0,4.8,1,2,1
Student 0182,1,2.8,1,1.8,3.0,4.1,4.5,1.8,1,1,1,1.9,1,4.0,1,4.1,2.1,1.5,3,1.7,2.3,3,2.9,1,2.3,1,1.6,1.9,3.9,1,2,1,2.8,3,5,2.4,1,2.3,4.9,1,2.1,4.0,2.8,1.8,2.1,4.4,0,2,1
Student 0183,1,2.7,1,1.6,2.4,3.7,3.3,1.1,1,1,1,1.6,1,2.8,1,3.7,1.7,1.1,2.2,1.5,1.6,1.9,2.5,1,1.8,1,0.0,1.7,3.5,1,1.3,1,1.7,2.4,3.9,1.8,1,2.3,3.3,1,2.0,4.6,1.5,1.3,1.8,3.5,1,1.6,1
Student 0184,0,0.8,1,1.2,1.2,1.9,3.3,0.7,1,0,0,1.2,0,1.3,1,1.8,0.8,2,1.6,0.5,1.5,1.0,0.8,0,1.6,0,0.6,0.5,1.9,0,1.0,1,0.7,1.0,1.6,1.0,1,0.7,3.1,0,1.7,2.3,0.8,0.9,1.0,2.3,1,1.2,0
Student 0185,1,1.3,0,1.3,2.0,2.0,3.8,1.0,0,1,1,1.5,0,1.9,1,3.7,1.1,1.1,1.9,1.4,1.6,1.4,2.0,1,1.5,0,1.3,0.9,2.1,1,1.3,1,1.3,1.7,3.8,2.1,1,1.3,2.0,1,1.1,2.6,1.3,1.2,1.1,3.1,1,1.3,1
Student 0186,1,2.3,1,1.7,2.7,3.9,5,1.6,1,1,1,1.4,1,4.5,1,4.9,2.4,2,2.9,1.4,3,2.1,2.4,1,3,1,1.7,2,4.4,1,2.0,1,3,2.4,4.1,3,1,2.7,4.3,1,2.2,3.8,3,1.6,2.6,3.5,1,1.6,1
Student 0187,1,2.8,1,1.2,1.8,3.0,4.3,1.4,1,1,1,1.4,1,4.1,1,3.9,0.0,1.5,2.5,1.6,2.3,2.9,1.9,1,2.6,1,1.9,1.8,2.9,1,1.5,1,2.1,2.6,3.0,2.0,1,2.4,3.0,1,2.8,3.7,1.8,1.4,1.9,4.3,1,1.5,1
Student 0188,1,3,1,2,3,5,5,2,1,1,1,1.8,1,3.9,1,5.0,2.6,1.8,3,2,2.2,3.0,3,1,2.7,1,2,2.0,5,1,1.5,1,3,2.4,4.9,3,1,2.7,5,1,2.9,4.9,2.4,1.5,2.5,5,1,1.5,1
Student 0189,1,3,1,1.5,2.0,4.0,5,1.6,1,1,1,1.6,1,3.5,1,4.6,3,1.7,2.4,1.5,2.4,2.0,2.7,1,3.0,1,1.8,1.7,3.8,1,2,1,2.5,2.2,4.5,2.3,1,2.1,4.4,1,2.9,3.7,3,1.9,2.1,3.5,1,1.7,1
Student 0190,0,2.5,1,0.9,1.8,1.7,3.8,1.0,1,1,1,1.2,1,4.0,1,3.9,2.4,1.6,1.7,1.1,1.5,0.0,1.9,1,1.7,1,1.3,1.3,2.5,1,1.6,1,2.4,1.7,4.0,1.3,1,1.9,3.7,0,1.5,0.0,0.0,1.5,2.0,3.5,1,1.3,1
Student 0191,0,0.7,0,0.1,0.0,5,1.5,0.0,0,0,0,0.3,0,1.7,0,0.1,0.0,0.0,0.4,0.6,0.2,0.4,0.6,0,0.2,0,0.3,0.4,0.5,0,0.7,0,0.0,0.6,0.7,0.3,0,3,0.7,0,0.8,0.6,0.3,0.2,0.4,0.2,0,0.4,0
Student 0192,1,1.2,0,0.5,1.1,1.5,2.6,0.5,0,0,0,0.6,0,1.5,1,2.7,1.1,1.5,0.7,1.0,0.7,1.0,1.1,0,1.6,0,0.7,2,1.9,1,0.6,0,0.5,1.5,2.2,1.1,0,0.5,0.9,1,0.8,1.0,0.9,0.3,1.1,1.7,0,0.7,0
Student 0193,1,2.6,1,1.6,3,5,4.2,2.0,1,1,1,2,1,5,1,5,3,2,3,2,2.8,2.4,3,1,2.6,1,2,1.7,5,1,2,1,3,3,5.0,3,1,3,4.2,1,3,5,3,1.5,2.9,5,1,1.9,1
Student 0194,1,3,1,2,3,4.7,3.8,2,1,1,1,2.0,1,4.2,1,3.9,2.5,1.8,3,1.8,2.8,2.2,3,1,3.0,1,1.4,2,3.7,1,1.9,1,3,3,3.6,3,1,3,5,1,2.3,4.0,2.4,1.7,3,5,1,2.0,1
Student 0195,1,3,1,1.6,3.0,3.7,5,1.7,1,1,1,1.9,1,5,1,3.7,3,2,2.3,1.8,2.9,3,2.1,1,3,1,2,1.7,4.3,1,1.9,1,3,2.6,3.8,3,1,2.8,3.7,1,2.1,4.3,2.7,1.8,2.6,4.6,1,1.5,1
Student 0196,1,2.4,1,1.3,2.1,3.0,3.4,1.8,1,0,1,1.6,1,4.2,1,3.2,2.5,1.8,2.2,1.6,0.9,1.8,1.9,1,2.6,1,1.7,1.2,3.4,1,1.2,1,1.5,2.7,3.1,2.1,1,0.0,3.9,1,2.2,2.8,1.8,1.3,2.4,4.2,1,1.4,1
Student 0197,1,1.8,1,1.3,1.7,4.1,2.8,1.4,1,1,1,1.7,1,4.7,1,3.6,2.1,1.8,2.7,1.1,2.6,2.7,0.0,1,2.1,1,0.0,1.7,3.9,1,1.1,1,1.7,1.8,4.5,1.9,1,1.7,3.9,1,2.7,3.4,2.4,1.1,2.8,2.9,1,1.2,1
Student 0198,1,2.0,1,1.6,2.6,4.5,4.1,0.0,1,1,1,1.6,1,5,1,4.1,2.7,1.8,2.8,2,3,2.5,2.8,0,2.2,1,2,1.6,3.3,1,1.7,1,3.0,2.3,5,2.8,1,2.4,3.9,1,2.6,4.1,2.2,2,2.1,4.8,1,1.4,1
Student 0199,1,2.1,1,1.3,2.4,4.5,3.5,1.6,1,1,1,1.9,1,3.6,1,3.2,2.6,1.4,1.8,1.5,2.0,2.0,2.6,1,2.3,1,1.8,1.6,3.2,1,1.7,1,2.3,2.4,3.1,2.7,1,2.3,3.9,1,2.7,3.1,1.2,1.4,2.3,3.9,1,1.6,1
Student 0200,1,2.8,1,0.0,2.7,3.3,2.8,1.6,1,0,1,1.8,1,3.2,1,3.5,2.2,1.7,2.9,1.2,2.3,2.9,2.1,1,2.6,1,1.3,1.9,4.8,1,1.9,1,2.7,2.5,4.1,2.2,1,2.4,3.8,1,2.7,4.0,2.5,1.8,2.4,3.1,1,1.6,1
Student 0201,0,1.4,1,1.4,1.7,3.5,3.6,0.9,1,0,0,1.1,0,3.8,0,3.6,1.5,1.1,1.5,0.8,2.1,2.1,1.8,1,1.5,0,1.0,1.3,2.9,1,0.9,0,1.1,1.5,2.9,2.0,0,1.2,3.7,0,1.5,2.7,2.1,1.2,1.3,3.3,1,0.9,1
Student 0202,0,0.9,0,0.4,0.2,1.3,2.1,0.2,0,0,0,0.6,0,1.0,0,1.6,1.3,0.1,1.2,0.3,0.5,0.8,0.2,0,1.0,0,0.4,0.2,0.6,0,0.1,0,3,0.6,1.5,0.7,0,0.5,0.3,0,1.2,2.2,0.9,0.1,1.2,2.1,0,0.1,0
Student 0203,0,1.6,1,0.9,0.8,1.5,2.9,0.7,1,0,0,1.0,1,2.0,1,2.1,1.6,1.0,1.8,0.5,1.8,1.4,1.7,0,1.2,0,0.7,1.1,1.8,0,0.5,1,1.1,1.2,2.3,0.8,1,1.7,2.1,0,1.7,3.2,1.0,0.8,1.4,1.4,1,0.5,0
Student 0204,0,1.3,0,0.8,0.2,1.8,1.1,0.7,0,1,0,0.4,0,2.3,0,1.7,0.3,0.9,0.7,0.5,1.2,3,1.0,0,0.8,0,0.7,0.2,1.0,0,0.5,0,1.2,1.0,0.6,0.5,0,0.3,0.8,0,0.2,1.5,1.3,0.7,1.1,0.8,0,0.8,0
Student 0205,1,2.1,1,1.2,1.8,3.8,3.3,1.4,1,1,1,1.2,1,3.1,1,3.3,1.6,1.7,2.3,1.2,1.6,2.0,2.4,1,1.6,1,1.2,1.8,2.7,1,1.5,1,1.7,1.6,4.5,2.3,1,2.1,3.1,1,2.3,2.6,2.6,1.5,2.1,2.6,1,1.2,1
Student 0206,1,2.6,1,1.8,2.4,4.2,4.7,2,1,1,1,2,1,5,1,4.5,2.3,1.8,3,1.5,2.8,2.2,2.5,1,2.2,1,1.5,1.8,4.0,0,1.6,1,2.8,2.1,4.1,2.1,1,2.6,5,1,2.1,4.7,3,1.6,3,4.6,1,1.4,1
Student 0207,0,2.1,1,1.1,2.0,3.4,3.7,1.0,1,1,0,0.8,1,1.8,0,3.3,1.4,1.2,1.1,0.8,1.1,1.6,2.0,1,1.9,0,1.3,1.4,2.4,1,0.7,0,2.0,1.7,2.4,1.1,1,1.2,2.4,0,2.1,2.0,1.4,0.8,1.7,4.5,0,0.7,1
Student 0208,1,3,1,1.7,3,5,5,1.7,1,1,1,2,1,5,1,5,3,2,3,2,2.7,3,3,1,3,1,2,2,4.4,1,1.6,1,3,2.7,5,3,1,3,5,1,3,4.5,3,2,3,5,1,2,1
Student 0209,1,2.5,1,1.4,2.8,3.7,4.1,1.3,1,1,0,1.6,1,3.9,1,3.0,2.7,1.8,2.4,1.3,2.9,0.8,2.9,1,2.9,1,1.7,1.5,3.9,0,1.8,1,2.6,2.4,4.6,2.4,1,2.8,3.9,1,2.2,4.1,1.9,1.4,2.3,3.4,1,1.5,1
Student 0210,0,1.7,0,0.6,1.8,1.1,1.4,1.2,0,1,0,0.6,1,2.5,0,3.0,1.7,1.1,2.0,0.8,1.2,1.9,1.3,0,1.1,1,1.2,0.9,2.0,1,0.6,0,1.5,1.3,3.1,0.9,1,1.9,2.5,0,0.8,2.8,1.3,1.0,1.7,1.8,0,1.0,1
Student 0211,0,0.0,0,0.3,0.3,0.0,0.4,0.0,0,0,0,0.4,0,0.2,0,0.0,0.2,0.3,0.0,0.0,0.5,0.0,0.9,0,0.5,0,0.5,0.4,1.3,0,0.6,0,0.0,0.2,0.6,0.8,0,0.6,0.5,0,0.7,1.2,0.1,0.0,0.4,1.4,0,0.4,0
Student 0212,0,1.8,1,0.7,1.5,1.8,3.1,1.4,1,1,0,0.9,1,2.5,1,2.2,1.8,1.5,1.2,1.3,2.1,2.2,1.2,0,2.2,1,0.0,1.1,3.6,0,1.3,0,2.1,1.8,2.7,0.0,0,2.0,3.3,1,1.5,2.9,2.2,0.8,1.4,3.3,1,0.9,0
Student 0213,0,0.7,0,0.7,0.2,1.7,1.2,0.5,0,0,1,0.7,0,0.2,0,0.4,1.0,0.6,0.8,0.2,0.9,0.1,0.5,0,0.4,0,0.2,0.7,0.2,0,0.7,0,0.3,0.8,0.2,0.1,0,1.0,0.7,0,3,1.8,0.8,0.4,0.3,0.3,0,0.0,0
Student 0214,1,1.5,0,0.8,0.9,1.3,1.5,0.4,0,0,1,0.8,0,1.8,0,2.3,0.5,0.7,0.6,0.4,0.4,0.4,0.7,0,1.3,0,0.3,0.5,2.1,0,0.5,0,1.2,1.2,0.9,0.5,0,3,2.3,0,3,2.6,0.9,0.3,0.8,1.3,0,0.4,0
Student 0215,1,1.7,0,1.4,1.8,2.4,3.8,0.0,1,1,1,1.6,1,3.1,1,3.3,2.3,1.5,2.3,1.2,1.6,2.3,1.8,1,1.6,1,1.4,1.0,3.7,0,1.2,1,1.4,2.2,2.4,2.4,1,2.2,2.3,1,0.0,2.1,1.8,1.3,2.0,3.0,1,1.0,1
Student 0216,1,1.8,1,1.4,2.3,3.6,3.4,1.4,1,1,1,1.7,1,4.9,1,4.0,2.6,1.3,2.1,1.9,2.0,1.9,1.8,1,2.4,1,1.3,2.0,4.6,1,1.3,1,2.0,2.1,3.8,2.3,1,2.5,3.9,1,2.9,3.0,1.8,1.6,2.9,4.1,1,1.7,1
Student 0217,0,0.4,0,0.8,0.9,2.4,1.4,0.4,0,0,0,0.8,0,1.6,0,1.8,1.0,0.5,1.0,0.6,1.4,1.0,0.4,0,0.8,0,0.9,0.4,5,0,1.0,0,0.7,3,0.9,0.6,1,0.9,0.8,0,1.5,1.6,0.5,1.2,0.5,2.5,0,0.3,0
Student 0218,0,0.9,0,0.8,0.5,0.9,1.6,1.0,1,0,0,0.4,1,1.4,0,0.9,3,0.6,3,0.5,1.4,3,1.5,0,0.5,0,0.5,0.3,1.0,1,0.9,0,0.5,0.5,1.3,0.6,0,1.3,1.0,1,0.9,1.6,0.5,0.9,0.5,2.4,0,0.7,0
Student 0219,1,1.7,1,1.5,2.6,3.1,4.8,1.4,1,1,1,1.7,1,3.2,1,3.6,2.7,1.9,2.4,1.3,2.6,1.8,1.7,1,2.0,1,1.4,1.5,1.7,1,1.4,1,1.9,2.3,4.0,2.8,1,2.0,4.1,1,2.8,3.9,2.1,1.2,2.4,3.8,1,1.3,1
Student 0220,1,3,1,2,2.3,4.2,4.3,2,1,1,1,1.6,1,5,1,3.9,3,1.5,2.9,1.7,3.0,3,2.5,1,3,1,2,1.5,5,1,2,1,3,3,5.0,2.4,1,2.7,5,1,2.5,3.8,3,2,3,4.5,1,1.6,1
Student 0221,0,0.0,0,0.3,0.7,0.3,1.5,0.6,0,0,0,0.1,0,0.6,0,1.1,0.9,0.0,0.7,0.6,0.2,0.0,0.1,0,0.6,0,0.0,0.4,1.3,0,0.2,0,0.0,0.4,0.7,0.0,0,0.1,0.5,0,0.1,0.0,0.9,0.0,0.0,0.7,0,0.6,0
Student 0222,0,0.1,0,0.7,0.3,1.3,1.6,0.0,0,0,0,0.1,0,1.6,0,0.2,0.0,0.2,0.6,0.3,1.0,0.0,0.8,0,0.6,0,0.5,0.2,0.1,0,2,0,0.0,1.2,1.5,1.0,0,0.2,0.0,0,0.6,1.2,0.3,0.3,0.1,0.7,0,0.1,0
Student 0223,1,2.5,1,1.7,3,5,5,2,1,1,1,1.7,1,3.9,1,4.0,2.9,1.9,2.7,1.6,3,2.4,2.7,1,2.2,1,1.6,2,4.5,1,2,1,2.8,3,5,2.9,1,2.7,5,1,2.7,3.9,3,2,3,5,1,2,1
Student 0224,1,3,1,1.4,2.7,3.7,4.9,2,1,1,1,1.9,1,4.7,1,5,3,2.0,2.1,1.5,2.0,2.0,2.2,1,2.3,1,1.9,2.0,4.2,1,1.6,1,2.4,2.4,4.4,2.1,1,2.1,4.4,1,2.7,4.0,1.5,1.9,2.1,3.4,1,2.0,1
Student 0225,1,2.7,1,2,2.5,3.7,4.6,1.6,1,1,1,1.9,1,5,1,4.9,3,2,3,1.6,3,3,3,1,2.7,1,2.0,1.5,3.6,1,1.7,1,3,2.6,5.0,2.4,1,3,3.9,1,2.8,4.6,3,1.6,2.7,4.8,1,1.5,1
Student 0226,0,0.9,0,0.0,0.5,1.8,0.9,2,0,0,0,0.1,0,1.2,0,5,0.6,0.4,0.1,0.8,0.3,0.8,0.6,0,0.9,0,0.0,0.7,0.6,0,0.7,0,1.6,0.2,0.5,0.0,0,0.3,0.1,0,0.8,1.6,0.8,0.3,0.1,0.4,0,0.2,0
Student 0227,0,2.1,1,1.0,1.3,4.0,3.9,1.2,1,0,1,1.1,1,2.1,0,2.3,1.6,1.2,1.9,1.3,1.8,1.5,1.7,0,2.3,1,1.2,0.9,2.0,1,1.2,1,2.3,1.8,3.6,2.0,0,2.1,3.0,0,2.2,4.7,2.3,1.1,1.4,2.6,1,1.0,0
Student 0228,1,2.0,0,1.4,1.3,3.2,2.7,0.0,0,0,0,0.9,1,2.8,1,2.4,1.4,1.0,1.4,0.8,1.3,1.9,1.2,1,1.7,1,1.3,1.4,2.7,1,0.7,1,2.2,1.3,0.4,1.5,1,1.1,2.8,0,1.5,3.1,2.0,1.4,2.0,3.5,0,1.4,0
Student 0229,0,2.0,1,1.7,2.6,4.8,4.4,1.9,1,1,1,1.8,1,3.2,1,3.7,2.2,1.8,2.7,1.7,2.7,2.5,1.1,1,2.1,1,1.8,2,4.9,1,1.4,1,2.9,3,4.4,1.9,1,2.8,4.7,1,2.3,5,2.0,1.3,2.2,4.4,0,1.3,1
Student 0230,0,1.2,0,0.5,1.3,0.9,1.4,0.2,0,0,0,0.8,0,1.4,0,0.4,0.8,0.8,0.5,0.3,0.4,1.3,1.0,0,1.3,0,0.2,0.5,1.2,0,0.4,0,0.5,1.4,2.0,0.9,0,0.5,1.9,0,2.5,1.6,3,0.7,0.6,1.2,0,0.4,0
Student 0231,1,3,1,1.5,2.7,5,5,2,1,1,1,2,1,4.2,1,3.9,2.8,1.9,2.3,2,3,3,2.8,1,2.9,1,1.7,2,5.0,1,1.5,1,3,2.6,3.7,2.4,1,3,5,1,2.5,4.7,2.5,1.7,3,5,1,1.9,1
Student 0232,0,1.2,0,0.6,0.8,1.6,2.6,1.1,0,1,0,0.6,1,2.4,1,3.1,0.9,1.0,1.0,1.0,1.9,1.1,1.4,0,1.7,0,0.9,1.0,2.0,1,0.7,1,1.2,1.0,2.0,1.8,1,0.9,2.8,1,0.8,1.4,1.5,1.1,1.3,2.7,0,1.1,0
Student 0233,0,0.5,1,0.6,1.0,1.7,1.7,0.4,0,0,0,0.3,0,0.0,0,0.5,0.0,0.5,1.0,0.6,0.0,0.5,0.1,0,0.4,0,0.6,1.5,0.4,0,0.1,0,0.5,0.1,0.9,0.0,0,0.1,0.1,0,0.7,1.4,0.9,0.2,0.8,1.3,0,0.1,0
Student 0234,1,3.0,1,1.4,2.8,3.9,4.9,1.5,1,1,1,1.4,1,3.7,1,3.4,2.8,1.6,2.5,1.3,2.4,2.1,2.8,1,3,1,1.4,1.5,5.0,1,1.5,1,2.6,3.0,3.9,2.3,1,2.8,3.7,1,2.7,3.6,2.5,2,1.9,3.8,1,1.8,1
Student 0235,1,0.9,0,0.0,0.4,1.1,0.0,0.4,0,0,0,0.4,0,0.0,0,0.0,0.8,0.0,0.9,0.1,0.2,0.9,0.2,0,0.9,0,0.5,0.1,0.4,0,0.1,0,0.2,0.4,0.3,0.0,0,0.0,1.2,0,1.0,0.9,0.6,0.1,1.0,0.0,0,0.6,0
Student 0236,0,3,0,0.9,1.3,5,1.5,1.0,0,0,0,0.8,0,1.3,0,1.5,1.4,0.5,1.3,2,1.2,1.1,0.5,0,1.6,0,0.5,0.7,2.3,0,0.9,0,0.5,0.5,1.6,0.9,0,1.5,1.4,0,1.0,2.5,0.9,0.7,0.7,1.6,1,0.3,0
Student 0237,1,2.8,1,1.6,3,4.7,4.5,1.6,1,1,1,1.8,1,4.2,1,4.3,2.2,2,3,2.0,2.8,3.0,2.6,1,2.8,1,1.6,1.9,4.0,1,1.6,1,3,3,5,2.2,1,3,5,1,2.3,0.0,3,1.6,2.8,3.7,1,1.8,1
Student 0238,1,3,1,1.8,3,4.1,3.8,2,1,1,1,1.8,1,4.6,1,4.4,2.1,2,2.7,1.9,2.9,3,2.8,1,2.6,1,1.8,1.9,3.8,1,1.6,1,3,2.4,4.1,3,1,3,3.7,1,3,4.1,3,1.9,3,4.4,1,1.8,1
Student 0239,1,1.3,1,1.8,1.7,4.2,3.0,1.3,1,1,1,1.3,1,3.6,1,0.0,2.7,0.0,1.7,1.7,1.9,2.5,2.1,1,2.4,1,1.2,1.7,4.4,1,1.4,1,2.6,2.2,4.7,2.4,1,2.1,2.9,1,1.9,4.1,2.3,1.4,2.7,4.5,1,1.8,1
Student 0240,0,0.4,0,0.3,1.2,1.7,2.2,0.7,0,0,0,0.8,0,5,0,1.8,1.5,0.6,1.4,0.7,0.6,1.5,0.5,0,1.5,0,0.8,0.3,1.0,0,0.7,1,1.5,0.4,1.0,0.9,0,1.6,1.7,0,0.7,0.9,1.3,0.7,1.4,0.8,0,1.0,0
Student 0241,1,3,1,2,2.6,3.7,5,1.5,1,1,1,2,1,4.3,1,5,3,1.8,2.8,2,2.4,3,2.3,1,2.9,1,1.7,1.8,5,1,2,1,2.5,2.5,4.4,3,1,3,5,1,2.6,4.2,2.3,1.5,2.3,4.3,1,2.0,1
Student 0242,1,0.7,1,1.3,2.0,0.0,2.4,1.1,1,1,1,1.3,1,2.7,1,2.8,1.8,1.2,2.4,1.0,0.0,2.1,1.5,1,2.2,1,1.3,1.3,4.0,0,1.7,1,2.4,1.7,3.5,1.6,1,2.5,3.0,1,1.6,4.2,1.7,1.6,2.0,3.3,1,1.7,1
Student 0243,0,1.3,1,1.3,1.9,2.9,2.4,1.5,0,1,1,1.0,1,2.5,0,2.2,1.7,1.0,1.3,1.0,1.1,1.4,1.8,1,2.3,1,1.0,1.0,3.0,0,1.2,0,2.2,2.2,3.2,1.9,1,2.3,2.6,1,2.2,3.6,2.2,1.5,1.1,1.9,1,1.1,0
Student 0244,1,2.3,1,1.5,2.0,3.8,3.3,1.2,1,1,1,1.1,1,4.0,1,4.1,2.8,1.6,2.4,1.2,1.9,2.7,2.8,1,1.7,0,1.1,1.6,3.7,1,1.7,1,2.1,2.4,3.6,1.9,1,2.6,1.4,1,1.9,4.4,2.0,1.9,2.7,2.9,1,1.4,1
Student 0245,1,2.9,1,1.4,2.1,4.3,3.6,1.7,1,1,1,1.4,1,2.2,1,3.3,2.3,1.6,2.3,1.6,2.9,2.0,2.8,1,1.7,1,1.9,1.2,3.9,1,1.2,1,2.1,1.9,3.8,2.9,1,2.3,3.6,1,2.7,3.6,2.7,1.4,1.8,2.9,1,1.4,1
Student 0246,1,1.8,1,1.0,1.2,2.6,2.4,1.0,1,1,1,2,1,2.5,1,3.1,1.9,1.1,1.3,1.0,2.2,2.5,1.5,0,1.8,1,1.5,1.4,3.1,1,1.1,1,1.7,1.2,2.2,1.6,0,2.4,3.7,1,1.3,2.2,2.0,2,1.6,3.5,0,1.0,0
